Unnamed: 0,id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type,instalment_no_int,out_term,out_revenue
502,38594765,41378514,12000,12000,12000,36,11.44,395.37,B,B4,10+ years,MORTGAGE,93000,Not Verified,2021-01-01,Charged Off,n,other,12.49,0,2002-05-01,1,11,37,0.0,0.0,2759.96,2759.96,2023.94,736.02,0.0,0.0,0.0,2021-08-01,395.37,2022-01-01,0,1,INDIVIDUAL,333.3333333333333,29.92818,11832.7045266
558,38585570,41369357,12000,12000,12000,60,17.86,303.81,D,D5,10+ years,MORTGAGE,80000,Verified,2021-01-01,Charged Off,n,debt_consolidation,12.0,0,2004-01-01,1,7,16,0.0,0.0,2129.95,2129.95,915.29,1199.47,15.19,0.0,0.0,2021-08-01,303.81,2022-01-01,0,1,INDIVIDUAL,200.0,55.42355,16838.2287255
564,38585406,41369191,5000,5000,5000,36,16.49,177.0,D,D3,10+ years,MORTGAGE,41056,Verified,2021-01-01,Charged Off,n,debt_consolidation,19.37,0,2007-10-01,1,7,14,0.0,0.0,679.88,679.88,442.17,237.71,0.0,0.0,0.0,2021-05-01,153.46,2021-12-01,0,1,INDIVIDUAL,138.88888888888889,32.816376,5808.498552
577,38585176,41368951,10500,10500,10500,60,15.59,253.06,D,D1,10+ years,MORTGAGE,145000,Verified,2021-01-01,Charged Off,n,other,30.23,0,1984-05-01,0,15,29,0.0,0.0,1247.11,1247.11,598.59,648.52,0.0,0.0,0.0,2021-06-01,253.06,2022-01-01,2,1,INDIVIDUAL,175.0,56.57948571428572,14318.004654857144
590,38584817,41368569,25000,25000,25000,36,8.67,514.97,B,B1,10+ years,RENT,118000,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.62,0,1985-12-01,0,5,30,0.0,0.0,1017.9,1017.9,671.11,346.79,0.0,0.0,0.0,2021-03-01,514.97,2021-02-01,0,1,INDIVIDUAL,694.4444444444445,35.0336016,18041.253815952
613,38584146,41367860,7500,7500,7500,36,6.99,231.55,A,A3,10+ years,MORTGAGE,45000,Not Verified,2021-01-01,Charged Off,n,home_improvement,8.02,0,1999-11-01,0,21,80,0.0,0.0,1386.39,1386.39,1143.72,242.67,0.0,0.0,0.0,2021-07-01,231.55,2022-01-01,0,1,INDIVIDUAL,208.33333333333334,30.510143999999997,7064.6238432
634,38575663,41359459,13050,12000,13050,60,13.16,345.68,E,E3,6 years,MORTGAGE,43000,Verified,2021-01-01,Charged Off,n,car,36.98,0,2002-03-01,2,14,23,0.0,0.0,3022.27,3022.27,258.71,418.16,0.0,2345.4,422.17,2021-03-01,345.68,2021-08-01,0,1,INDIVIDUAL,200.0,58.706450000000004,20293.645636
708,38565594,41349408,23550,23550,23550,36,15.59,823.19,D,D1,< 1 year,MORTGAGE,59000,Verified,2021-01-01,Charged Off,n,debt_consolidation,28.46,0,1987-01-01,0,15,36,0.0,0.0,3272.36,3272.36,2109.61,1162.75,0.0,0.0,0.0,2021-05-01,823.19,2022-01-01,0,1,INDIVIDUAL,654.1666666666666,32.77511847133758,26980.14977442038
744,38556129,41339944,12000,12000,12000,36,12.39,400.82,C,C1,10+ years,RENT,75000,Not Verified,2021-01-01,Charged Off,n,credit_card,24.26,1,2004-07-01,1,12,33,0.0,0.0,2453.14,2453.14,1705.0,748.14,0.0,0.0,0.0,2021-07-01,400.82,2022-01-01,0,1,INDIVIDUAL,333.3333333333333,30.885,12379.325700000001
789,38554987,41338759,10000,10000,10000,36,15.99,351.53,D,D2,10+ years,RENT,52000,Verified,2021-01-01,Charged Off,n,other,37.03,0,1995-01-01,2,22,37,0.0,0.0,2120.61,2120.61,1354.08,766.53,0.0,0.0,0.0,2021-07-01,363.36,2022-01-01,0,1,INDIVIDUAL,277.77777777777777,31.125312,10941.48092736
807,38554314,41338041,30000,30000,30000,36,15.99,1054.57,D,D2,9 years,RENT,130000,Verified,2021-01-01,Charged Off,n,other,22.3,0,2001-12-01,1,15,44,0.0,0.0,7328.69,7328.69,4771.1,2557.59,0.0,0.0,0.0,2021-08-01,1054.57,2022-01-01,0,1,INDIVIDUAL,833.3333333333334,30.27468,31926.769287599996
824,38545894,41329676,6425,6425,6425,36,15.99,225.86,D,D2,10+ years,MORTGAGE,27600,Verified,2021-01-01,Charged Off,n,debt_consolidation,30.61,0,1995-09-01,0,11,36,0.0,0.0,1151.5,1151.5,720.17,431.33,0.0,0.0,0.0,2021-07-01,225.86,2021-12-01,0,1,INDIVIDUAL,178.47222222222223,31.96480622568093,7219.571134132296
835,38545696,41329474,24000,24000,24000,60,15.99,583.51,D,D2,10+ years,MORTGAGE,89600,Verified,2021-01-01,Charged Off,n,debt_consolidation,21.64,1,1999-02-01,1,14,25,0.0,0.0,2896.23,2896.23,1354.16,1542.07,0.0,0.0,0.0,2021-06-01,583.51,2021-03-01,0,1,INDIVIDUAL,400.0,56.6146,33035.185246
866,38544952,41328715,25000,25000,25000,36,16.49,884.99,D,D3,10+ years,OWN,85000,Verified,2021-01-01,Charged Off,n,credit_card,12.78,0,1993-09-01,2,13,29,0.0,0.0,5264.13,5264.13,3362.36,1901.77,0.0,0.0,0.0,2021-07-01,884.99,2022-01-01,0,1,INDIVIDUAL,694.4444444444445,31.158201599999998,27574.696833984
871,38544832,41328586,20000,20000,20000,36,17.14,714.45,D,D4,8 years,MORTGAGE,115000,Verified,2021-01-01,Charged Off,n,home_improvement,17.84,0,2002-12-01,4,17,21,0.0,0.0,4267.66,4267.66,2666.34,1601.32,0.0,0.0,0.0,2021-07-01,714.45,2022-01-01,0,1,INDIVIDUAL,555.5555555555555,31.200588,22291.260096600003
874,38544687,41328431,16000,16000,16000,60,16.49,393.27,D,D3,3 years,RENT,39000,Verified,2021-01-01,Charged Off,n,credit_card,35.69,0,2008-02-01,0,11,14,0.0,0.0,2330.3,2330.3,1076.82,1253.48,0.0,0.0,0.0,2021-07-01,393.27,2022-01-01,0,1,INDIVIDUAL,266.6666666666667,55.961924999999994,22008.146244749998
897,38544129,41327843,10000,10000,10000,36,14.31,343.29,C,C4,10+ years,OWN,30000,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.28,0,2004-08-01,0,7,18,0.0,0.0,2387.13,2387.13,1625.51,761.62,0.0,0.0,0.0,2021-08-01,343.29,2022-01-01,1,1,INDIVIDUAL,277.77777777777777,30.148164,10349.563219560001
949,38535078,41318856,12800,12800,12550,60,14.31,299.9,C,C4,6 years,RENT,40000,Verified,2021-01-01,Charged Off,n,debt_consolidation,21.3,0,2005-08-01,0,10,20,0.0,0.0,881.35,864.14,447.07,432.28,2.0,0.0,0.0,2021-06-01,1.0,2022-01-01,0,1,INDIVIDUAL,213.33333333333334,57.904359375,17365.517376562497
959,38534746,41318496,13100,13100,13100,60,21.99,361.74,E,E5,10+ years,OWN,30000,Verified,2021-01-01,Charged Off,n,debt_consolidation,30.08,0,1965-11-01,0,8,23,0.0,0.0,1414.95,1414.95,500.27,914.68,0.0,0.0,0.0,2021-05-01,361.74,2021-02-01,0,1,INDIVIDUAL,218.33333333333334,57.70868702290076,20875.540443664122
967,38534642,41318387,16000,16000,16000,60,13.16,405.08,D,D5,2 years,RENT,48000,Verified,2021-01-01,Charged Off,n,debt_consolidation,23.94,0,2007-10-01,4,15,16,0.0,0.0,3244.57,3244.57,166.95,198.44,0.0,2879.18,518.25,2021-02-01,405.08,2021-07-01,0,1,INDIVIDUAL,266.6666666666667,59.37393749999999,24051.194602499996
984,38516117,41309929,10000,10000,10000,60,16.49,245.8,D,D3,3 years,OWN,50400,Verified,2021-01-01,Charged Off,n,other,33.62,0,2005-07-01,0,6,13,0.0,0.0,1219.84,1219.84,557.02,662.82,0.0,0.0,0.0,2021-06-01,245.8,2022-01-01,0,1,INDIVIDUAL,166.66666666666666,56.65788,13926.506904
1001,38515718,41309521,10375,10375,10375,36,17.86,374.36,D,D5,5 years,RENT,29000,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,31.08,0,2004-10-01,0,26,63,0.0,0.0,2545.52,2545.52,443.16,295.27,0.0,1807.09,325.28,2021-03-01,374.36,2021-08-01,0,1,INDIVIDUAL,288.19444444444446,34.462288192771084,12901.302207845783
1057,38506322,41300134,20575,20575,20575,36,12.39,687.23,C,C1,1 year,RENT,92500,Verified,2021-01-01,Charged Off,n,debt_consolidation,9.42,0,1986-04-01,1,14,16,0.0,0.0,3421.32,3421.32,2641.86,779.46,0.0,0.0,0.0,2021-05-01,687.23,2022-01-01,0,1,INDIVIDUAL,571.5277777777778,31.377547509112997,21563.591974687726
1083,38505576,41299366,20000,20000,20000,36,15.99,703.05,D,D2,< 1 year,MORTGAGE,58000,Verified,2021-01-01,Charged Off,n,debt_consolidation,23.69,2,2005-09-01,1,15,32,0.0,0.0,4200.53,4200.53,2708.12,1492.41,0.0,0.0,0.0,2021-07-01,703.05,2022-01-01,0,1,INDIVIDUAL,555.5555555555555,31.125384000000004,21882.7012212
1092,38505266,41299048,25000,25000,25000,60,19.99,662.21,E,E3,10+ years,MORTGAGE,135000,Verified,2021-01-01,Charged Off,n,debt_consolidation,31.63,0,1995-10-01,2,18,50,0.0,0.0,4579.94,4579.94,1808.66,2771.28,0.0,0.0,0.0,2021-08-01,662.21,2022-01-01,0,1,INDIVIDUAL,416.6666666666667,55.659216,36858.089427360006
1104,38505068,41298840,16000,16000,16000,36,7.49,497.63,A,A4,3 years,OWN,162000,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,7.62,0,2002-06-01,1,13,27,0.0,0.0,1977.2,1977.2,1606.01,371.19,0.0,0.0,0.0,2021-05-01,497.63,2021-12-01,0,1,INDIVIDUAL,444.44444444444446,32.3864775,16116.482798325
1195,38486189,41279993,18000,18000,18000,36,13.66,415.67,C,C3,2 years,MORTGAGE,97500,Not Verified,2021-01-01,Charged Off,n,home_improvement,1.16,0,1985-07-01,1,5,33,0.0,0.0,2896.03,2896.03,1526.74,1369.29,0.0,0.0,0.0,2021-08-01,415.67,2022-01-01,0,1,INDIVIDUAL,500.0,32.94652,13694.8799684
1214,38485707,41279504,25000,25000,25000,60,15.99,607.82,D,D2,3 years,MORTGAGE,90000,Verified,2021-01-01,Charged Off,n,debt_consolidation,5.2,0,2003-10-01,0,10,24,0.0,0.0,4232.53,4232.53,2001.46,2231.07,0.0,0.0,0.0,2021-08-01,607.82,2022-01-01,0,1,INDIVIDUAL,416.6666666666667,55.196495999999996,33549.53419872
1217,38485678,41279474,12000,12000,12000,60,16.49,294.96,D,D3,8 years,MORTGAGE,32500,Verified,2021-01-01,Charged Off,n,debt_consolidation,12.74,1,1979-07-01,0,9,20,0.0,0.0,1802.26,1802.26,807.66,994.6,0.0,0.0,0.0,2021-07-01,294.96,2022-01-01,0,1,INDIVIDUAL,200.0,55.9617,16506.463032
1234,38485198,41278973,7000,7000,7000,36,9.49,224.2,B,B2,10+ years,MORTGAGE,27600,Verified,2021-01-01,Charged Off,n,credit_card,20.39,0,2000-07-01,0,9,19,0.0,0.0,1748.22,1748.22,510.54,157.68,0.0,1080.0,194.4,2021-07-01,1.5,2022-01-01,0,1,INDIVIDUAL,194.44444444444446,33.37436571428571,7482.532793142856
1252,38484720,41278465,20000,20000,20000,36,14.99,693.21,C,C5,9 years,RENT,60000,Verified,2021-01-01,Charged Off,n,debt_consolidation,18.8,0,2006-01-01,1,7,11,0.0,0.0,4807.53,4807.53,892.29,477.47,0.0,3437.77,618.8,2021-03-01,693.21,2021-08-01,0,1,INDIVIDUAL,555.5555555555555,34.393878,23842.18016838
1264,38484264,41277986,4000,4000,4000,36,17.86,144.33,D,D5,10+ years,MORTGAGE,75000,Not Verified,2021-01-01,Charged Off,n,other,35.04,0,1998-07-01,1,12,34,0.0,0.0,713.71,713.71,436.79,276.92,0.0,0.0,0.0,2021-06-01,144.33,2022-01-01,0,1,INDIVIDUAL,111.11111111111111,32.068889999999996,4628.5028937
1301,38475656,41269465,12000,12000,12000,60,17.14,299.14,D,D4,10+ years,RENT,47000,Verified,2021-01-01,Charged Off,n,debt_consolidation,32.48,5,1999-06-01,1,15,46,0.0,0.0,1771.99,1771.99,794.34,977.65,0.0,0.0,0.0,2021-07-01,299.14,2022-01-01,0,1,INDIVIDUAL,200.0,56.0283,16760.305662
1371,38465473,41259256,5000,5000,5000,36,10.49,162.49,B,B3,10+ years,RENT,30000,Verified,2021-01-01,Charged Off,n,debt_consolidation,28.8,1,1994-04-01,0,18,39,0.0,0.0,1294.09,1294.09,979.84,314.25,0.0,0.0,0.0,2021-09-01,162.49,2021-12-01,0,1,INDIVIDUAL,138.88888888888889,28.945152,4703.29774848
1404,38464514,41258252,27500,27500,27500,36,12.99,926.46,C,C2,2 years,MORTGAGE,86000,Verified,2021-01-01,Charged Off,n,small_business,20.57,0,1998-02-01,2,21,44,0.0,0.0,6496.25,6496.25,1264.35,548.88,0.0,4683.02,842.94,2021-03-01,926.46,2021-08-01,0,1,INDIVIDUAL,763.8888888888889,34.34485090909091,31819.130573236365
1520,38525080,41238868,15000,15000,15000,60,17.14,373.92,D,D4,10+ years,MORTGAGE,100000,Verified,2021-01-01,Charged Off,n,credit_card,25.57,0,1997-09-01,2,24,51,0.0,0.0,2214.95,2214.95,992.89,1222.06,0.0,0.0,0.0,2021-07-01,373.92,2022-01-01,0,1,INDIVIDUAL,250.0,56.02844,20950.154284800003
1526,38524692,41238457,9125,9125,9125,36,13.66,310.37,C,C3,< 1 year,MORTGAGE,56000,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,37.38,0,1984-02-01,1,11,27,0.0,0.0,2158.74,2158.74,1495.79,662.95,0.0,0.0,0.0,2021-08-01,310.37,2022-01-01,0,1,INDIVIDUAL,253.47222222222223,30.098801095890412,9341.764896131508
1530,38524475,41238219,18700,18700,18700,60,20.99,505.8,E,E4,10+ years,MORTGAGE,71000,Verified,2021-01-01,Charged Off,n,debt_consolidation,31.73,0,1989-06-01,0,15,38,0.0,0.0,1979.59,1979.59,733.8,1245.79,0.0,0.0,0.0,2021-05-01,505.8,2022-01-01,0,1,INDIVIDUAL,311.6666666666667,57.6455614973262,29157.125005347592
1569,38445589,41229369,12800,12000,12800,36,13.16,431.23,C,C2,10+ years,OWN,95000,Verified,2021-01-01,Charged Off,n,credit_card,37.92,0,1987-06-01,0,21,44,0.0,0.0,2599.7,2599.7,1800.93,777.21,21.56,0.0,0.0,2021-07-01,884.02,2021-07-01,0,1,INDIVIDUAL,333.3333333333333,30.59721,13194.4348683
1571,38445485,41229265,5000,5000,5000,36,23.99,196.14,F,F2,< 1 year,RENT,50000,Verified,2021-01-01,Charged Off,n,other,18.31,0,2006-10-01,3,11,13,0.0,0.0,777.9,777.9,396.42,381.48,0.0,0.0,0.0,2021-05-01,196.14,2021-12-01,0,1,INDIVIDUAL,138.88888888888889,33.145776,6501.212504639999
1607,38444556,41228298,20000,20000,20000,60,24.99,586.91,F,F4,1 year,OWN,66972,Verified,2021-01-01,Charged Off,n,house,18.01,0,1987-03-01,0,6,9,0.0,0.0,3493.69,3493.69,1077.19,2416.5,0.0,0.0,0.0,2021-07-01,586.91,2022-01-01,0,1,INDIVIDUAL,333.3333333333333,56.76843000000001,33317.9592513
1626,38436227,41220018,14700,14700,14700,60,19.99,389.38,E,E3,1 year,RENT,41000,Verified,2021-01-01,Charged Off,n,debt_consolidation,19.23,0,2005-04-01,2,9,16,0.0,0.0,1930.57,1930.57,746.99,1183.58,0.0,0.0,0.0,2021-06-01,389.38,2021-12-01,0,1,INDIVIDUAL,245.0,56.9510612244898,22175.604219591838
1628,38436207,41219998,5950,5950,5950,36,19.99,221.1,E,E3,< 1 year,MORTGAGE,32000,Verified,2021-01-01,Charged Off,n,debt_consolidation,36.57,0,2005-10-01,3,10,24,0.0,0.0,1304.15,1304.15,763.06,541.09,0.0,0.0,0.0,2021-07-01,221.1,2022-01-01,0,1,INDIVIDUAL,165.27777777777777,31.383166386554628,6938.818088067228
1653,38435613,41219386,25850,25850,25850,60,25.99,773.81,G,G4,10+ years,MORTGAGE,81000,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.36,0,2001-07-01,3,15,31,0.0,0.0,6153.16,6153.16,1847.05,4306.11,0.0,0.0,0.0,2021-09-01,773.81,2022-01-01,0,1,INDIVIDUAL,430.8333333333333,55.71284332688588,43111.15529477756
1658,38435482,41219251,14325,14325,14325,60,19.99,379.45,E,E3,7 years,RENT,48000,Verified,2021-01-01,Charged Off,n,debt_consolidation,20.4,0,1995-12-01,0,13,27,0.0,0.0,4861.97,4861.97,727.94,1269.13,0.0,2864.9,515.68,2021-06-01,379.45,2021-09-01,0,1,INDIVIDUAL,238.75,56.95103664921466,21610.070856544502
1698,38434199,41217913,35000,35000,35000,36,13.66,1190.45,C,C3,2 years,OWN,84012,Verified,2021-01-01,Charged Off,n,debt_consolidation,25.34,0,1995-03-01,0,17,29,0.0,0.0,8306.72,8306.72,1593.08,734.7,0.0,5978.94,1076.21,2021-03-01,1190.45,2021-08-01,0,1,INDIVIDUAL,972.2222222222222,34.36140342857143,40905.53271154286
1745,38424657,41208403,35000,35000,35000,36,13.16,1107.63,B,B1,9 years,OWN,160000,Verified,2021-01-01,Charged Off,n,debt_consolidation,13.43,0,2003-02-01,0,21,36,0.0,0.0,6612.06,6612.06,5222.06,1390.0,0.0,0.0,0.0,2021-07-01,1107.63,2021-12-01,0,1,INDIVIDUAL,972.2222222222222,30.628738285714284,33925.309387405716
1777,38414781,41198572,15000,15000,15000,60,19.99,397.33,E,E3,2 years,RENT,83200,Verified,2021-01-01,Charged Off,n,debt_consolidation,13.11,0,1997-04-01,0,17,32,0.0,0.0,1989.86,1989.86,759.29,1210.7,19.87,0.0,0.0,2021-06-01,397.33,2021-12-01,0,1,INDIVIDUAL,250.0,56.96284,22633.0452172
1820,38413524,41197260,28425,28425,28425,36,16.49,1006.23,D,D3,7 years,MORTGAGE,75000,Verified,2021-01-01,Charged Off,n,debt_consolidation,28.0,0,2003-09-01,2,24,32,0.0,0.0,9165.87,9165.87,5855.13,3310.74,0.0,0.0,0.0,2021-10-01,1006.23,2022-01-01,0,1,INDIVIDUAL,789.5833333333334,28.584531926121368,28762.613560021106
1835,38382327,41166106,10000,10000,10000,36,7.49,311.02,A,A4,10+ years,MORTGAGE,92000,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,4.04,0,1998-04-01,1,4,10,0.0,0.0,306.86,306.86,248.6,58.26,0.0,0.0,0.0,2021-02-01,311.02,2021-02-01,0,1,INDIVIDUAL,277.77777777777777,35.10504,10918.3695408
1842,38381980,41165742,6150,6150,6150,36,18.54,224.01,E,E1,< 1 year,RENT,87000,Verified,2021-01-01,Charged Off,n,debt_consolidation,20.91,2,2003-07-01,0,15,29,0.0,0.0,659.36,659.36,399.19,260.17,0.0,0.0,0.0,2021-04-01,224.01,2022-01-01,0,1,INDIVIDUAL,170.83333333333334,33.66327804878049,7540.910915707317
1878,38372035,41155807,20000,20000,20000,36,8.67,632.93,B,B1,7 years,RENT,77000,Verified,2021-01-01,Charged Off,n,debt_consolidation,14.1,4,1996-04-01,0,14,45,0.0,0.0,3145.38,3145.38,2477.69,667.69,0.0,0.0,0.0,2021-06-01,632.93,2021-12-01,0,1,INDIVIDUAL,555.5555555555555,31.540158,19962.712202939998
1909,38362347,41146110,24000,24000,24000,60,17.86,607.62,D,D5,7 years,RENT,72000,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.22,0,1992-05-01,2,12,29,0.0,0.0,2382.85,2382.85,1024.27,1358.58,0.0,0.0,0.0,2021-05-01,607.62,2021-12-01,0,1,INDIVIDUAL,400.0,57.439325,34901.2826565
1918,38361826,41145579,35000,35000,35000,60,24.99,1027.1,F,F4,6 years,RENT,120000,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.1,0,2001-08-01,1,10,26,0.0,0.0,4011.22,4011.22,1230.68,2780.54,0.0,0.0,0.0,2021-05-01,1027.1,2021-12-01,0,1,INDIVIDUAL,583.3333333333334,57.89026285714285,59459.08898057142
1960,38352130,41135889,12000,12000,12000,36,19.99,317.86,E,E3,8 years,MORTGAGE,60000,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.1,0,2006-08-01,0,8,33,0.0,0.0,3061.29,3061.29,359.81,567.12,0.0,2134.36,384.18,2021-04-01,317.86,2021-09-01,0,1,INDIVIDUAL,333.3333333333333,34.920570000000005,11099.852380200002
1994,38342053,41125800,14400,14400,14400,60,13.16,405.87,F,F1,1 year,RENT,85000,Verified,2021-01-01,Charged Off,n,debt_consolidation,11.34,0,1995-01-01,3,25,44,0.0,0.0,1586.7,1586.7,535.09,1051.61,0.0,0.0,0.0,2021-05-01,405.87,2021-12-01,0,1,INDIVIDUAL,240.0,57.77045833333333,23447.29592375
2013,38341391,41125118,25000,25000,25000,60,24.99,733.64,F,F4,2 years,RENT,70704,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.87,0,2011-06-01,1,5,12,0.0,0.0,6682.23,6682.23,652.45,1479.05,0.0,4550.73,819.13,2021-04-01,733.64,2021-09-01,0,1,INDIVIDUAL,416.6666666666667,58.43411999999999,42869.607796799995
2027,38331938,41115688,8950,8950,8950,36,15.99,314.62,D,D2,9 years,RENT,43000,Verified,2021-01-01,Charged Off,n,debt_consolidation,19.15,0,2003-05-01,1,6,11,0.0,0.0,1242.58,1242.58,797.2,445.38,0.0,0.0,0.0,2021-05-01,314.62,2022-01-01,0,1,INDIVIDUAL,248.61111111111111,32.79338547486034,10317.45493810056
